system:time_start,NDVI
"Sep 1, 2017",0.11
"Sep 4, 2017",0.119
"Sep 6, 2017",0.1
"Sep 11, 2017",0.113
"Sep 16, 2017",0.112
"Sep 19, 2017",0.103
"Sep 21, 2017",0.107
"Sep 24, 2017",0.099
"Sep 26, 2017",0.107
"Sep 29, 2017",0.083
"Oct 4, 2017",0.086
"Oct 6, 2017",0.092
"Oct 9, 2017",0.098
"Oct 11, 2017",0.098
"Oct 21, 2017",0.096
"Oct 24, 2017",0.105
"Oct 26, 2017",0.106
"Oct 29, 2017",0.097
"Oct 31, 2017",0.091
"Nov 8, 2017",0.118
"Nov 10, 2017",0.109
"Nov 13, 2017",0.108
"Nov 15, 2017",0.101
"Nov 18, 2017",0.103
"Nov 20, 2017",0.108
"Dec 5, 2017",0.123
"Dec 8, 2017",0.109
"Dec 13, 2017",0.147
"Dec 18, 2017",0.156
"Dec 23, 2017",0.156
"Dec 30, 2017",0.234
"Jan 17, 2018",0.377
"Jan 22, 2018",0.411
"Jan 27, 2018",0.485
"Feb 8, 2018",0.527
"Feb 11, 2018",0.541
"Feb 13, 2018",0.543
"Feb 16, 2018",0.573
"Feb 21, 2018",0.625
"Apr 14, 2018",0.749
"Apr 17, 2018",0.716
"Apr 17, 2018",0.711
"Apr 19, 2018",0.696
"May 17, 2018",0.494
"May 22, 2018",0.388
"Jun 13, 2018",0.181
"Jun 16, 2018",0.183
"Jun 23, 2018",0.16
"Jun 26, 2018",0.164
"Jul 3, 2018",0.156
"Jul 6, 2018",0.154
"Jul 8, 2018",0.139
"Jul 11, 2018",0.147
"Jul 13, 2018",0.144
"Jul 16, 2018",0.143
"Jul 18, 2018",0.141
"Jul 21, 2018",0.14
"Jul 23, 2018",0.127
"Jul 26, 2018",0.138
"Jul 28, 2018",0.135
"Jul 31, 2018",0.13
"Aug 2, 2018",0.118
"Aug 5, 2018",0.119
"Aug 7, 2018",0.111
"Aug 10, 2018",0.125
"Aug 12, 2018",0.113
"Aug 15, 2018",0.122
"Aug 17, 2018",0.114
"Aug 20, 2018",0.106
"Aug 22, 2018",0.112
"Aug 25, 2018",0.118
"Aug 30, 2018",0.114
