system:time_start,NDVI
"Jan 12, 2017",0.167
"Feb 8, 2017",0.23
"Mar 10, 2017",0.291
"Mar 20, 2017",0.287
"Apr 2, 2017",0.317
"Apr 12, 2017",0.297
"May 19, 2017",0.263
"May 22, 2017",0.262
"Jun 1, 2017",0.21
"Jun 8, 2017",0.18
"Jun 11, 2017",0.167
"Jun 21, 2017",0.152
"Jul 1, 2017",0.147
"Jul 3, 2017",0.136
"Jul 11, 2017",0.13
"Jul 13, 2017",0.124
"Jul 16, 2017",0.117
"Jul 21, 2017",0.125
"Jul 23, 2017",0.124
"Jul 26, 2017",0.117
"Jul 28, 2017",0.122
"Jul 31, 2017",0.113
"Aug 2, 2017",0.116
"Aug 5, 2017",0.109
"Aug 12, 2017",0.112
"Aug 15, 2017",0.094
"Aug 17, 2017",0.102
"Aug 20, 2017",0.109
"Aug 22, 2017",0.109
"Sep 1, 2017",0.11
"Sep 4, 2017",0.119
"Sep 6, 2017",0.1
"Sep 11, 2017",0.113
"Sep 16, 2017",0.112
"Sep 19, 2017",0.103
"Sep 21, 2017",0.107
"Sep 24, 2017",0.099
"Sep 26, 2017",0.107
"Sep 29, 2017",0.083
"Oct 4, 2017",0.086
"Oct 6, 2017",0.092
"Oct 9, 2017",0.098
"Oct 11, 2017",0.098
"Oct 21, 2017",0.096
"Oct 24, 2017",0.105
"Oct 26, 2017",0.106
"Oct 29, 2017",0.097
"Oct 31, 2017",0.091
"Nov 8, 2017",0.118
"Nov 10, 2017",0.109
"Nov 13, 2017",0.108
"Nov 15, 2017",0.101
"Nov 18, 2017",0.103
"Nov 20, 2017",0.108
"Dec 5, 2017",0.123
"Dec 8, 2017",0.109
"Dec 13, 2017",0.147
"Dec 18, 2017",0.156
"Dec 23, 2017",0.156
"Dec 30, 2017",0.234
